"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","742550000","1158000000","1168180000","1634000000","1680020000","1317030000","1344040000","1133360000","1185450000","998350000","1453530000","3033850171.39118","5859512676.22443","5386420050.04454","3953036239.41445","2954773897.21656","2869797210.08846","2057605232.79878","2061600656.88824","1424318814.34887","1689956513.12232","1670875057.36492","6371260602.50795","8962105359.6967","7441356320.48083","5767597036.62566","7246113371.7329","8743748826.50484","13598468296.3693","13780125792.9022","16264538724.0756","16534602936.4717","11208411273.1173","11102025120.4928","11285105502.8351","11896174380.3736","14484697051.7261","16845349197.9229","14640497610.2245","21212194212.2324","18118130673.5147","17955311177.4372","20688544050.1784","32188664489.1012","35802505509.3118","41941218108.6614","53448145957.7347","24768491838.8501","30690858242.0435","38950159653.1073","38659316477.4333","42783351486.9461","44866044630.8335","49744613432.5345","50814059629.7978","43058855070.596","50872093722.7773","63561315118.1818","51048086920.3007","",
"Austria","AUT","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","422760000","542870000","627380000","692380000","717380000","611330000","632110000","783350000","795640000","822240000","1043790000","1546513761.70296","1926925248.61509","1992347126.19018","2534540967.073","3582756269.23949","3560497148.29675","3350515476.05985","5046547357.23644","4075202738.08829","5280499044.0942","5284907140.25294","5300260830.34788","4515346176.6522","4244279340.76817","4767041739.89455","6161854635.3039","7532104413.45458","7368170540.02772","8598013851.28919","9376412542.14622","10331965769.7864","12382538287.0186","14610450834.0858","16822106310.4833","18730063294.5262","22864810076.3267","19736341901.5263","22432418733.7637","15120494280.5772","14318557871.9085","12509149438.845","9683215409.34699","8470013826.67912","7858351360.20201","6839052057.72804","7010007227.52574","10688538215.2108","8911960384.84544","8114274014.9959","9589312425.02126","10986937165.179","12232101627.7746","12473847962.0136","14145081235.2233","12697611667.636","12940101580.5846","9894238649.26207","11653251921.0656","",
"Azerbaijan","AZE","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590075.584692729","2034228.47621105","120884190.931729","211281618.639234","466094169.060554","447325724.692227","672589591.859642","679605504.08201","724979353.94087","720471772.469666","802839749.214127","1075084292.67504","1177743664.23387","2500372956.08952","4273114882.33472","6467239211.36657","5363780427.90113","6408969356.57349","10273827341.5398","11277238753.8186","14400553978.867","14646563761.9499","6291165248.52726","5836459133.36833","6680448851.7634","6665907526.35547","",
"Burundi","BDI","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","5050000","2910000","7420000","15360000","17685148.4739864","18486869.338545","21483318.0587651","14188685.5433159","30712933.909055","49030349.4830086","94405489.5333384","81303996.469142","89986681.6573312","94501736.620465","61300096.3928814","29488828.9551574","26938811.7163784","19731397.1998759","29472337.4340949","69072776.0449158","60731681.8226958","69384229.1181655","99620884.4324125","105037968.445462","141384049.550129","174172535.784509","162984067.449269","204703171.840123","209447915.508199","139601358.464954","113041381.039247","65524132.2562041","47982830.7884671","32920287.2651183","17708961.7401183","58776329.559297","66965314.0226551","65752699.2508293","100082252.808507","130527587.059737","176329729.145465","265701340.18856","322043553.578175","330734336.971923","293975922.888204","307157909.647554","328150659.626304","315980290.456431","135115722.176262","94051538.1306259","96149938.427552","66887906.4276545","",
"Belgium","BEL","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","336380000","565390000","388390000","598900000","770930000","775710000","825050000","1110000000","662830000","867500000","1376580000","1796972261.10523","2232310082.11097","3318647145.60546","3537969196.99908","4068715695.50316","3490582114.07743","3956110734.95106","3965630242.22704","5443055500.93802","7822671608.36884","4952010593.36664","3927195703.5103","4713507198.80386","4564214039.49873","4848635325.13181","5537660880.94626","9620118131.90711","9332523664.0605","10765506347.4124","12151444864.9187","12180231615.3857","13801404911.5184","11414708988.851","13876355602.8222","16176815580.7399","16952814072.4039","16190045054.1859","18271555652.8657","10937746162.3449","9994359072.00129","11266180657.335","11855155242.2018","10989407121.3605","10361106128.097","8241223512.59184","8783357104.33208","10383928739.2755","9318426731.36497","15906611812.7944","16499236929.1966","17918063148.2487","18600107403.7022","18138871032.3354","16626119272.9201","16352191039.0629","15103247247.456","16672726084.4711","17486655858.9529","",
"Benin","BEN","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","143195868.268889","138200000","148263262.412567","288917105.667086","232673820.519865","315230279.580148","386253589.087291","299646394.40916","138416395.465368","182622698.652138","524078485.093418","389911548.850912","336519683.655536","409086690.396683","843148731.007675","1046059814.83226","501459852.28796","628650096.029364","1278235593.4143","1824601405.25527","2410807604.77349","3138702517.93058","2339666010.15567","1834622472.24747","1581456188.83036","1905410381.79284","1603637022.87566","1485964723.8122","1275027661.37667","1683213119.17036","2577891706.05726","3172440832.85791","2767241063.68236","3805600127.49565","5183432281.25889","5689282147.3445","10218896711.2537","10564279466.9521","8509530151.12681","12031218899.6072","17564379091.112","21785394951.0397","27023378997.5949","31776076223.0877","32849189167.2112","31452739129.2509","",
"Bulgaria","BGR","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310596629.90459","902193951.352318","655159266.381872","1001796405.27122","1236448646.10957","483565544.007178","2111518090.54677","2684704979.33994","2892115859.93365","3154932645.38982","3290770435.08362","4407064600.69285","6291014237.56369","8776249132.85169","8040543681.81402","10943005137.2857","16477943644.9979","16815532884.4521","17127293529.1316","15420510258.801","15251917950.4487","18371022895.0265","18334727398.1463","18576128878.3467","20783318488.9051","23691208595.9197","26692714576.2926","27044894864.6649","",
"Bahrain","BHR","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","22700000","13100000","20000000","41700000","59600000","62800000","86000000","83514293.4723569","64015863.4453415","131333924.294449","289479789.762801","436407081.369459","503918473.356273","493447411.354709","613872790.518466","953398487.377367","1544123400.16345","1534788223.25702","1426356781.69414","1302444378.04276","1659714499.12127","1489386883.66176","1148513525.51462","1251689978.60344","1050028756.53797","1234863497.46056","1514616863.35093","1398461506.73065","1302177260.34121","1169670093.41565","1279928665.96901","1318441888.7828","1290271421.24692","1079202721.71103","1369037032.29933","1564139197.72147","1683978561.44655","1725747320.10789","1778386497.58307","1940503184.74825","1974973931.62393","2800288505.16612","4217125249.57618","3920456598.60005","3845174045.06264","5088638737.03106","4544544828.72022","5204661306.9061","5347043440.19013","6048506002.51976","3387207932.19981","2440104314.00794","2628648079.34137","2142030870.00967","",
