Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46646469746693,6.93493938675523,6.25884359075901,4.52131422826697,4.79383512647761,6.55868225019245,5.0367090301006,4.04207442732824,6.99363007529187,6.86945665877678,6.31056630640479,4.19682644137802,10.7062608307036,10.9040922958099,6.59945496266279,6.47918083359896,8.42512014670551,7.27118298260453,7.41991409730749,6.36717242417586,4.20028415858288,5.16510250130054,8.82058976278222,11.0518811734569,5.7151135893734,7.5513274416442,10.9999799512655,5.42675436234961,4.85974943017455,8.47536879371014,5.57519877032694,,,
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0468971030666,-3.58511111709381,12.5579601468892,17.5429289408708,11.3640937307248,-1.24150599400781,7.17438723794589,9.78449594139253,14.3516893410707,12.2525481562197,9.41677606606904,12.6426993073576,,,
Angola,AGO,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0950001791546,-93.5134588840176,-29.522706549011,4.04755887747494,-72.5785001611618,-60.7813270387995,-5.03293321688833,-33.5534024054014,1.12833550907278,36.6411290160783,17.799803581475,2.04299496946991,12.8373343636254,-5.72699956739724,38.975946691856,-6.94483626313024,-9.87641335430098,8.76474643212428,12.6107802361087,12.3805970272909,21.1441877007269,-4.92205300939891,-5.55269084354276,-10.506790378957,,
Albania,ALB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50195315724549,1.0003091547091,1.00058436930803,0.996284183664403,1.43757004192623,-25.4690910606448,-63.7871204812071,-42.5735139522975,-8.96318219295595,8.80174501441428,-10.2870097172254,19.2994542648082,,19.1095559805435,15.5794478427779,15.2582927003853,11.2500481303419,8.62545399900411,8.34124933040263,9.45903065013955,10.2060979479912,9.30140093340637,8.55042130156212,9.99611763688361,7.97107524192347,9.88841741874728,9.73642517692639,9.51039297821351,7.0002435652731,8.11622522469351,10.3520797698718,5.04470701476492,4.93732998310261,,
Andorra,AND,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01008579301131,14.2311110519169,10.5687442622144,9.75165232681387,12.5543666809332,13.1174683581839,9.94507167767402,29.1202848185975,16.179803860883,7.8288524592808,-9.78915778532334,-3.76573898962305,-4.49629725369551,-3.38254239370576,-3.00639086148202,0.240385057782125,-8.56602872006595,-7.77340523607893,-6.74819555440486,-5.48583918237899,-11.6006987702161,-1.31470878459507,-7.00603984304116,0.455012808101836,-2.35357143432585,,
Armenia,ARM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.9130577416523,39.105168282964,30.9943493990781,34.1346115907617,38.7736674388853,33.3984630573373,21.7339742389409,18.3327469142319,15.5583254991901,11.5923305087159,14.2817319164796,11.3795280486194,12.7435114080609,10.4349146541902,15.8034515494499,10.6076357869827,12.9197578934331,11.2811932934792,12.2168430436348,13.7812486601176,16.1800096730379,17.0423595080455,11.9973399575166,9.95284202971991,,
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
